LocationID,ACCESS2,ARTHRITIS,BINGE,CANCER,CASTHMA,CERVICAL,CHD,CHECKUP,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PHLTH,SLEEP,STROKE,TEETHLOST
31159,11.3,24.0,21.5,6.7,8.2,84.2,5.3,68.6,61.5,5.5,28.4,22.2,15.7,69.4,7.6,2.4,21.7,71.6,11.3,35.9,9.6,29.8,2.6,11.2
31161,14.5,25.1,22.2,6.5,9.3,83.3,6.4,67.5,52.0,6.9,20.0,21.1,19.4,59.4,10.0,2.8,28.8,62.9,13.3,35.7,12.0,32.6,3.3,16.8
31163,12.6,23.3,25.2,6.5,8.6,84.2,5.7,68.5,59.5,6.1,22.9,22.8,17.2,63.1,8.4,2.5,25.1,70.0,12.0,36.0,10.4,31.4,2.8,13.8
31165,12.8,22.5,22.5,6.5,8.5,84.2,5.9,69.2,59.0,5.9,22.9,22.9,17.1,64.0,8.4,2.5,24.2,66.5,11.8,33.1,10.3,30.2,2.8,13.5
31167,12.9,23.4,22.9,6.5,8.5,83.9,5.7,68.7,59.7,5.9,23.3,23.4,17.2,67.6,8.6,2.5,22.6,69.6,11.8,31.2,10.2,29.2,2.8,13.5
31169,12.3,23.8,23.6,6.5,8.4,84.2,5.5,68.9,58.4,5.9,23.1,22.5,17.2,64.4,8.2,2.4,24.0,65.1,11.7,35.7,10.0,31.1,2.7,12.9
31171,12.3,23.1,23.5,6.6,8.6,84.5,5.6,68.6,61.0,5.9,24.0,24.0,17.0,65.9,8.4,2.5,23.6,69.7,11.7,35.7,10.1,30.6,2.7,13.5
31173,15.0,26.8,22.5,6.6,11.7,80.9,8.3,72.6,55.0,9.4,19.6,23.2,27.1,59.0,14.4,3.7,31.6,68.8,16.8,47.6,16.6,33.6,4.6,22.5
31175,12.9,22.8,22.7,6.5,8.6,83.9,5.9,69.5,55.3,6.1,22.8,21.3,18.0,64.0,8.5,2.5,23.9,65.6,12.1,35.4,10.4,32.3,2.8,14.5
31177,10.9,21.3,25.1,6.6,8.1,85.8,5.1,70.1,66.1,5.3,24.3,23.0,15.2,72.4,7.6,2.3,22.0,71.2,10.7,33.3,9.1,30.1,2.5,11.0
31179,11.7,20.0,25.4,6.6,8.2,83.6,5.7,69.9,60.9,5.5,24.8,21.8,15.6,70.3,8.3,2.5,22.0,70.9,11.3,38.7,9.5,30.4,2.7,12.3
31181,13.3,24.1,22.4,6.5,8.6,83.2,5.9,68.7,55.6,6.2,22.2,22.5,18.2,62.9,8.7,2.6,25.7,67.7,12.1,38.7,10.7,30.8,2.9,15.0
31183,12.8,24.8,23.0,6.5,8.8,83.0,6.4,68.7,58.7,6.7,23.8,22.2,18.7,60.0,9.3,2.7,26.2,68.2,12.8,36.8,11.3,32.9,3.1,15.1
31185,12.1,22.9,23.0,6.5,8.5,83.5,5.4,68.1,63.5,5.6,26.7,21.6,15.6,67.2,8.3,2.4,24.1,68.2,11.7,41.9,9.8,28.2,2.7,12.0
